0.8000, -0.612, 3.687,
0.8000, -0.485, 3.704,  
0.8083, -0.457, 3.707,  
0.8167, -0.429, 3.711,  
0.8250, -0.401, 3.715,  
0.8333, -0.373, 3.718,  
0.8417, -0.345, 3.722,  
0.8500, -0.317, 3.725,  
0.8583, -0.289, 3.729,  
0.8667, -0.261, 3.732,  
0.8750, -0.233, 3.735,  
0.8833, -0.205, 3.738,  
0.8917, -0.176, 3.741,  
0.9000, -0.147, 3.744,  
0.9083, -0.118, 3.747,  
0.9167, -0.089, 3.749,  
0.9250, -0.060, 3.752,  
0.9333, -0.030, 3.754,  
0.9417, -0.001, 3.755,  
0.9486, 0.024, 3.757,  
0.9556, 0.051, 3.758,  
0.9625, 0.078, 3.759,  
0.9694, 0.105, 3.760,  
0.9764, 0.131, 3.761,  
0.9833, 0.158, 3.762,  
0.9891, 0.183, 3.763,  
0.9949, 0.209, 3.763,  
1.0007, 0.235, 3.762,  
1.0065, 0.260, 3.760,  
1.0123, 0.285, 3.759,  
1.0181, 0.311, 3.758,  
1.0238, 0.337, 3.755,  
1.0296, 0.363, 3.749,  
1.0345, 0.377, 3.740,  
1.0372, 0.379, 3.730,  
1.0392, 0.377, 3.721,  
1.0408, 0.379, 3.712,  
1.0424, 0.397, 3.703,  
1.0437, 0.426, 3.698,  
1.0446, 0.452, 3.695,  
1.0453, 0.481, 3.693,  
1.0461, 0.509, 3.692,  
1.0467, 0.534, 3.690,  
1.0473, 0.563, 3.689,  
1.0479, 0.592, 3.688,  
1.0485, 0.621, 3.686,  
1.0490, 0.650, 3.686,  
1.0495, 0.680, 3.685,  
1.0500, 0.709, 3.684,  
1.0504, 0.738, 3.683,  
1.0508, 0.768, 3.682,  
1.0512, 0.797, 3.681,  
1.0515, 0.825, 3.681,  
1.0518, 0.854, 3.680,  
1.0521, 0.883, 3.679,  
1.0524, 0.913, 3.678,  
1.0526, 0.943, 3.677,  
1.0528, 0.968, 3.676,  
1.0530, 0.996, 3.674,  
1.0531, 1.024, 3.673,  
1.0533, 1.052, 3.672,  
1.0534, 1.079, 3.670,  
1.0536, 1.108, 3.669,  
1.0537, 1.136, 3.667,  
1.0538, 1.162, 3.666,  
1.0539, 1.190, 3.664,  
1.0539, 1.217, 3.663,  
1.0540, 1.247, 3.662,  
1.0540, 1.274, 3.661,  
1.0541, 1.301, 3.660,  
1.0541, 1.328, 3.659,  
1.0541, 1.354, 3.657,  
1.0540, 1.379, 3.656,  
1.0540, 1.405, 3.654,  
1.0539, 1.430, 3.652,  
1.0539, 1.456, 3.651,  
1.0538, 1.481, 3.650,  
1.0537, 1.503, 3.648,  
1.0535, 1.520, 3.647,  
1.0534, 1.537, 3.646,  
1.0532, 1.555, 3.645,  
1.0531, 1.572, 3.644,  
1.0530, 1.592, 3.642,  
1.0528, 1.619, 3.641,  
1.0526, 1.646, 3.640,  
1.0524, 1.676, 3.638,  
1.0522, 1.705, 3.636,  
1.0520, 1.734, 3.634,  
1.0517, 1.763, 3.632,  
1.0514, 1.790, 3.630,  
1.0511, 1.817, 3.628,  
1.0508, 1.844, 3.625,  
1.0505, 1.870, 3.624,  
1.0501, 1.897, 3.622,  
1.0497, 1.923, 3.621,  
1.0494, 1.948, 3.619,  
1.0490, 1.975, 3.618,  
1.0485, 2.001, 3.616,  
1.0481, 2.029, 3.614,  
1.0475, 2.055, 3.612,  
1.0470, 2.081, 3.610,  
1.0465, 2.107, 3.608,  
1.0458, 2.137, 3.606,  
1.0450, 2.167, 3.604,  
1.0443, 2.196, 3.602,  
1.0435, 2.225, 3.600,  
1.0426, 2.254, 3.597,  
1.0418, 2.283, 3.595,  
1.0408, 2.311, 3.593,  
1.0398, 2.339, 3.591,  
1.0388, 2.367, 3.589,  
1.0376, 2.394, 3.587,  
1.0365, 2.421, 3.585,  
1.0353, 2.448, 3.582,  
1.0340, 2.473, 3.580,  
1.0326, 2.499, 3.576,  
1.0312, 2.526, 3.573,  
1.0297, 2.554, 3.570,  
1.0277, 2.583, 3.568,  
1.0257, 2.613, 3.567,  
1.0239, 2.639, 3.565,  
1.0215, 2.668, 3.562,  
1.0192, 2.697, 3.559,  
1.0172, 2.721, 3.557,  
1.0145, 2.749, 3.554,  
1.0118, 2.777, 3.551,  
1.0090, 2.804, 3.548,  
1.0058, 2.830, 3.546,  
1.0025, 2.856, 3.544,  
0.9992, 2.882, 3.542,  
0.9951, 2.910, 3.540,  
0.9904, 2.941, 3.537,  
0.9858, 2.971, 3.534,  
0.9798, 3.003, 3.531,  
0.9731, 3.036, 3.528,  
0.9667, 3.067, 3.525