full_name,epoch_mjd,a,e,i,om,w,ma,per_y
   588 Achilles (1906 TG),57400,5.205918325,0.147042468,10.31518182,316.5629881,133.5794631,138.5970224,11.8782983
   617 Patroclus (1906 VY),57400,5.217631288,0.138728369,22.04761027,44.35882277,308.5017633,103.7387701,11.91840889
   624 Hektor (1907 XM),57400,5.252597071,0.024446974,18.16691047,342.7963428,183.575367,72.22810364,12.03841562
   659 Nestor (1908 CS),57400,5.181144516,0.116521057,4.523067046,350.8662011,341.6551864,242.2082206,11.79360998
   884 Priamus (1917 CQ),57400,5.18233986,0.121429571,8.913538312,301.5581666,335.7364465,190.6056872,11.79769158
   911 Agamemnon (1919 FD),57400,5.273512645,0.066001305,21.76253378,338.0217542,81.564359,170.1766483,12.11039169
  1143 Odysseus (1930 BH),57400,5.24888089,0.089748441,3.137894019,221.2921197,236.946006,117.812465,12.02564222
  1172 Aneas (1930 UA),57400,5.217849632,0.103500709,16.66461666,247.3296163,51.32325533,171.6426771,11.91915703
  1173 Anchises (1930 UB),57400,5.30032079,0.136851323,6.916265181,283.9019467,40.91054383,119.2906331,12.20285455
  1208 Troilus (1931 YA),57400,5.250215739,0.09192059,33.54170479,48.55272962,296.6850086,122.8558063,12.03022989
  1404 Ajax (1936 QW),57400,5.303753898,0.112699576,18.00369608,332.9751698,60.09943689,182.0623454,12.21471247
  1437 Diomedes (1937 PB),57400,5.193049785,0.044423356,20.49105899,315.7918334,131.6152454,167.141335,11.83428248
  1583 Antilochus (1950 SA),57400,5.127350019,0.051820442,28.52089603,221.3918001,188.0770657,188.1743491,11.61041252
  1647 Menelaus (1957 MK),57400,5.215563331,0.022519375,5.649152922,240.3185589,299.0979539,34.68601951,11.91132398
  1749 Telamon (1949 SB),57400,5.148874002,0.107413645,6.093644458,340.9251018,113.2848385,121.7879318,11.68359781
  1867 Deiphobus (1971 EA),57400,5.128583682,0.043165676,26.91111364,283.7030323,359.8571203,178.2962016,11.61460305
  1868 Thersites (2008 P-L),57400,5.320157479,0.108688222,16.75360898,197.8413424,169.6920236,213.1403928,12.27142321
  1869 Philoctetes (4596 P-L),57400,5.229815119,0.065954423,3.972786699,43.99073291,321.1377266,198.0358131,11.96017975
  1870 Glaukos (1971 FE),57400,5.248173983,0.031855327,6.575959132,176.302616,131.3954717,148.721276,12.02321292
  1871 Astyanax (1971 FF),57400,5.252965499,0.032475015,8.597693947,145.776023,164.0579338,119.6331671,12.03968224
  1872 Helenos (1971 FG),57400,5.318258663,0.047622742,14.64125943,188.7922129,116.3276432,162.4963186,12.26485411
  1873 Agenor (1971 FH),57400,5.236512325,0.092236577,21.87883471,197.920139,356.5976298,255.1153855,11.98316108
  2146 Stentor (1976 UQ),57400,5.194699202,0.101037672,39.2587356,131.3248417,273.6493735,171.2416457,11.83992114
  2148 Epeios (1976 UW),57400,5.214137882,0.056750325,9.14888117,176.5953949,232.2231954,176.5548894,11.90644114
  2207 Antenor (1977 QH1),57400,5.138607646,0.016858509,6.808134139,159.1367176,298.4008487,11.99346374,11.6486713
  2223 Sarpedon (1977 TL3),57400,5.230595661,0.015210502,15.95949543,220.8971295,57.95736546,194.491376,11.96285741
  2241 Alcathous (1979 WM),57400,5.187103433,0.066983542,16.6193978,267.9822506,290.9308003,247.9785403,11.81396186
  2260 Neoptolemus (1975 WM1),57400,5.195193544,0.043326331,17.77930339,86.57360192,321.3186027,175.2667502,11.84161126
  2357 Phereclos (1981 AC),57400,5.20898013,0.044130566,2.668861602,179.2514308,74.88956672,212.6590982,11.88877898
  2363 Cebriones (1977 TJ3),57400,5.198847499,0.035367977,32.13411097,211.7548687,56.54081989,211.004076,11.85410636
  2456 Palamedes (1966 BA1),57400,5.129736772,0.073705876,13.9074932,327.3933299,95.38584149,157.7432323,11.61852034
  2594 Acamas (1978 TB),57400,5.065249896,0.083904865,5.53307989,356.7080966,279.4079067,172.5726131,11.40012247
  2674 Pandarus (1982 BC3),57400,5.18111611,0.067695402,1.854936393,179.8117137,39.21655798,244.801268,11.79351299
  2759 Idomeneus (1980 GC),57400,5.181472357,0.066595155,21.95178097,171.2306752,8.497367407,51.01319936,11.79472937
  2797 Teucer (1981 LK),57400,5.102608509,0.088222526,22.39961911,69.93989448,49.11220414,105.3798169,11.52647667
  2893 Peiroos (1975 QD),57400,5.154374185,0.075470289,14.65616257,108.766796,171.8341788,166.4208692,11.70232397
  2895 Memnon (1981 AE1),57400,5.237180751,0.050391627,27.21788635,133.9784156,276.4797119,55.14317409,11.98545558
  2920 Automedon (1981 JR),57400,5.108057953,0.02609936,21.12409616,230.9510655,199.244385,151.0923236,11.54494654
  3063 Makhaon (1983 PV),57400,5.205306291,0.059506695,12.16634672,287.8749355,205.4496475,101.6899314,11.87620366
  3240 Laocoon (1978 VG6),57400,5.238647293,0.126224441,2.333621123,296.2777058,15.76577366,138.1812617,11.99049028
  3317 Paris (1984 KF),57400,5.223472706,0.126145535,27.86054414,135.8966212,150.2020522,179.1349939,11.93842944
  3391 Sinon (1977 DD3),57400,5.302237159,0.082387117,14.86989701,341.1362107,103.5442569,135.4258283,12.2094732
  3451 Mentor (1984 HA1),57400,5.128587143,0.070425065,24.66156339,179.6604946,133.0758387,166.830439,11.61461481
  3540 Protesilaos (1973 UF5),57400,5.270868714,0.117982238,23.29694891,26.43821987,116.4409922,89.4459135,12.10128532
  3548 Eurybates (1973 SO),57400,5.188284022,0.089229137,8.063505469,43.56700159,28.12366748,170.2610092,11.81799539
  3564 Talthybius (1985 TC1),57400,5.20729213,0.040908939,15.50805896,23.78844998,203.3405258,345.1506949,11.88300051
  3596 Meriones (1985 VO),57400,5.165664541,0.073351206,23.53118084,356.6971219,67.15708509,172.599431,11.74079491
  3708 (1974 FV1),57400,5.217488428,0.158332787,13.36946073,291.174519,57.99349117,109.9443759,11.9179194
  3709 Polypoites (1985 TL3),57400,5.243570044,0.060084629,19.62301798,187.1470591,247.1317455,136.5303775,12.00739542
  3793 Leonteus (1985 TE3),57400,5.211902176,0.089904718,20.90705854,200.5392524,263.154364,128.3041607,11.89878414
  3794 Sthenelos (1985 TF3),57400,5.206159168,0.14546574,6.061413358,343.2651631,35.44764242,207.1295565,11.87912261
  3801 Thrasymedes (1985 VS),57400,5.324470595,0.022122445,28.50054133,209.4810955,207.0347409,164.3328513,12.28634912
  4007 Euryalos (1973 SR),57400,5.172819856,0.056181287,11.00428394,6.779672812,78.415472,146.0185425,11.76519782
  4035 (1986 WD),57400,5.284878605,0.055850666,12.13235056,233.7396298,198.2860599,147.5134263,12.14956492
  4057 Demophon (1985 TQ),57400,5.262261186,0.118194662,2.873019783,24.4415572,59.11808598,131.8483194,12.07165464
  4060 Deipylos (1987 YT1),57400,5.246653691,0.154320207,16.14803251,168.2499044,307.5035673,100.9871686,12.01798897
  4063 Euforbo (1989 CG2),57400,5.182276403,0.118258065,18.93943468,113.5156946,318.6830181,157.4770996,11.79747489
  4068 Menestheus (1973 SW),57400,5.150090431,0.073330258,17.56041032,177.7004629,317.6616735,74.10960518,11.68773846
  4086 Podalirius (1985 VK2),57400,5.256158624,0.120676772,21.70892287,54.97855981,357.0760123,188.7624346,12.05066177
  4138 Kalchas (1973 SM),57400,5.162120332,0.042913023,2.099471166,208.0262164,164.766742,215.5324906,11.72871378
  4348 Poulydamas (1988 RU),57400,5.240645387,0.097983341,7.957608774,220.1156871,160.4358985,75.91561377,11.99735095
  4489 (1988 AK),57400,5.224202071,0.057537277,22.20694622,86.56360692,8.020760807,107.1100647,11.94093001
  4501 Eurypylos (1989 CJ3),57400,5.204961407,0.052608764,8.304829744,244.2760386,181.09546,173.9044774,11.87502336
  4543 Phoinix (1989 CQ1),57400,5.120144331,0.095695895,14.71111971,325.3917756,85.41811303,191.9395336,11.5859462
  4707 Khryses (1988 PY),57400,5.1857159,0.123414094,7.103016823,310.2083541,66.7939161,89.67032827,11.80922188
  4708 Polydoros (1988 RT),57400,5.261362326,0.059657091,6.98298585,281.158479,104.7455077,57.55522668,12.06856179
  4709 Ennomos (1988 TU2),57400,5.239467708,0.022026543,25.45477827,253.1592403,89.15473542,135.7717316,11.9933071
  4715 (1989 TS1),57400,5.108577872,0.049559496,18.65801763,1.608536349,346.2644446,111.4626153,11.54670922
  4722 Agelaos (4271 T-3),57400,5.206950609,0.112063738,8.815388541,64.99607617,315.8004146,74.77013647,11.88183151
  4754 Panthoos (5010 T-3),57400,5.237509432,0.01039425,12.3270517,155.0599117,202.9199891,118.8105005,11.9865839
  4791 Iphidamas (1988 PB1),57400,5.162632842,0.046818171,25.96653544,261.4556765,165.8195146,24.56462976,11.73046052
  4792 Lykaon (1988 RK1),57400,5.261701591,0.090901577,9.335160851,61.9231543,284.1476938,108.4742588,12.06972912
  4805 Asteropaios (1990 VH7),57400,5.21217532,0.090385483,12.01190486,278.3813099,90.85523421,78.18230455,11.89971953
  4827 Dares (1988 QE),57400,5.117024861,0.046196317,7.70617182,242.0703516,169.6747976,51.81904363,11.57535963
  4828 Misenus (1988 RV),57400,5.167716357,0.043118922,14.90105724,352.992191,128.9946838,328.8287483,11.74779081
  4829 Sergestus (1988 RM1),57400,5.14381436,0.050269433,8.600462345,221.9705525,124.7792305,129.9608125,11.66638037
  4832 Palinurus (1988 TU1),57400,5.266108677,0.140585585,19.06479125,135.1244147,210.0504681,119.2050909,12.08489631
  4833 Meges (1989 AL2),57400,5.245619098,0.091676542,34.69177079,101.7623291,279.4789922,189.5211007,12.01443439
  4834 Thoas (1989 AM2),57400,5.220720104,0.134915599,28.46386797,76.03474936,351.9968747,143.677749,11.92899393
  4835 (1989 BQ),57400,5.19262549,0.25137843,19.57139614,125.4731317,355.3128018,109.471806,11.83283214
  4836 Medon (1989 CK1),57400,5.202649044,0.108770601,19.40910778,82.05589468,34.73553388,118.7076417,11.86711083
  4867 Polites (1989 SZ),57400,5.160406926,0.016807879,27.16879282,335.2044831,277.6917609,212.9867939,11.72287479
  4902 Thessandrus (1989 AN2),57400,5.204740012,0.042160353,9.073036945,170.3216634,271.5866757,136.747433,11.87426571
  4946 Askalaphus (1988 BW1),57400,5.319552115,0.050665422,21.8612043,59.0379835,204.4394765,316.9230459,12.26932877
  5012 Eurymedon (9507 P-L),57400,5.271693684,0.085091989,4.996771038,34.83345592,333.5592961,211.0158129,12.10412648
  5023 Agapenor (1985 TG3),57400,5.179433316,0.050645277,11.77363878,308.4088235,84.85400985,176.4771781,11.78776777
  5025 (1986 TS6),57400,5.200594875,0.074326437,11.02207671,347.8391474,73.56392114,154.4804888,11.86008326
  5027 Androgeos (1988 BX1),57400,5.305455571,0.064593495,31.44665741,78.22620894,344.9879413,154.806916,12.22059145
  5028 Halaesus (1988 BY1),57400,5.263174666,0.129721856,21.48808415,44.06308076,11.60707434,166.8090261,12.07479807
  5041 Theotes (1973 SW1),57400,5.179489294,0.036496136,10.58869758,29.8974586,106.6893834,105.260905,11.78795887
  5119 (1988 RA1),57400,5.200836144,0.108639395,15.95053068,316.9774401,17.32665112,127.6731011,11.8609086
  5120 Bitias (1988 TZ1),57400,5.279224637,0.110091653,24.98993535,295.8833875,23.97359497,132.7483082,12.13007303
  5123 (1989 BL),57400,5.231385605,0.101629038,8.529403413,78.22647676,32.46883868,106.8871727,11.96556752
  5126 Achaemenides (1989 CH2),57400,5.240241973,0.025423985,29.86272778,116.4978907,353.6068004,113.9540417,11.99596567
  5130 Ilioneus (1989 SC7),57400,5.215608765,0.009842636,15.73441674,242.5130105,111.4373132,81.71565023,11.91147962
  5144 Achates (1991 XX),57400,5.204901781,0.271079199,8.901322131,322.8250419,331.4079431,148.9508713,11.87481931
  5209 (1989 CW1),57400,5.185467827,0.050050137,9.050642138,322.7092475,106.6541474,180.2970065,11.8083745
  5233 (1988 RL10),57400,5.143792264,0.044841458,3.377763373,142.5317732,43.19159023,271.3746486,11.6663052
  5244 Amphilochos (1973 SQ1),57400,5.170644085,0.027474857,6.156766736,213.3048603,125.3867342,251.2037738,11.75777565
  5254 Ulysses (1986 VG1),57400,5.237126857,0.120368931,24.19297748,76.0380081,343.3792355,155.502586,11.98527057
  5257 (1988 RS10),57400,5.167357227,0.031966295,2.86954182,126.9866294,85.73801004,236.2613131,11.74656622
  5258 (1989 AU1),57400,5.180176196,0.075679338,5.915678742,248.1166331,230.868433,88.48970174,11.79030392
  5259 Epeigeus (1989 BB1),57400,5.199687323,0.073185098,15.9228511,67.46461035,199.6202956,320.9685438,11.85697885
  5264 Telephus (1991 KC),57400,5.205845607,0.111425104,33.57729234,121.898222,359.6457622,100.7806592,11.87804942
  5283 Pyrrhus (1989 BW),57400,5.20149621,0.148751481,17.48510768,71.16054204,356.3833661,152.9581704,11.86316667
  5284 Orsilocus (1989 CK2),57400,5.223737356,0.083206954,20.22410956,102.7478932,343.5871949,137.2834527,11.93933675
  5285 Krethon (1989 EO11),57400,5.168917608,0.04906839,25.1682029,144.2852304,258.2576975,204.9129232,11.75188727
  5436 Eumelos (1990 DK),57400,5.19963081,0.077466559,7.434502292,253.9810484,221.5557361,107.2569206,11.85678555
  5476 (1989 TO11),57400,5.109556434,0.072468076,13.70337682,198.556265,95.97302776,166.2601265,11.55002708
  5511 Cloanthus (1988 TH1),57400,5.243294711,0.115810805,11.16599646,172.6748309,121.7774402,174.2237354,12.0064497
  5637 Gyas (1988 RF1),57400,5.147890716,0.119616693,22.4405629,1.970152878,332.5632215,142.8048203,11.68025113
  5638 Deikoon (1988 TA3),57400,5.25515801,0.106058042,10.9053901,156.034729,91.50372037,195.0751111,12.04722081
  5648 (1990 VU1),57400,5.154933955,0.165028869,22.69168263,71.03973547,269.1953487,110.1680725,11.70423035
  5652 Amphimachus (1992 HS3),57400,5.209122748,0.075535599,1.897500899,281.6480252,108.3318315,195.9975229,11.88926725
  5907 (1989 TU5),57400,5.145055689,0.096295535,1.920661279,107.7534485,140.8128096,209.4624108,11.6706037
  6002 (1988 RO),57400,5.219518754,0.092852016,15.554631,209.7295995,159.6822709,96.61962441,11.92487666
  6090 (1989 DJ),57400,5.312492427,0.056580436,20.17920035,328.5295014,72.95044446,172.6171167,12.24491256
  6443 (1988 RH12),57400,5.244725393,0.126120541,9.497730036,168.154685,200.0882078,88.06484773,12.01136414
  6545 (1986 TR6),57400,5.143468063,0.050925299,11.99073176,278.0155582,149.6041145,172.5102019,11.66520227
  6997 Laomedon (3104 T-3),57400,5.179726914,0.100282718,19.11691412,195.3080809,57.62841905,204.655694,11.78877007
  6998 Tithonus (3108 T-3),57400,5.186477635,0.069341323,1.729226076,35.26817173,258.8995499,158.1104351,11.81182398
  7119 Hiera (1989 AV2),57400,5.156147518,0.101180403,19.30392266,285.5595176,121.4497836,158.2250318,11.70836367
  7152 Euneus (1973 SH1),57400,5.155875042,0.062959081,3.71165374,113.0479296,306.7830508,159.8199886,11.70743559
  7214 Anticlus (1973 SM1),57400,5.174140336,0.033518226,13.45876416,195.5587963,218.4445278,193.6059973,11.76970311
  7352 (1994 CO),57400,5.137002566,0.036254229,8.178778058,130.3276978,125.2382309,190.3588707,11.6432139
  7543 Prylis (1973 SY),57400,5.18819079,0.06283503,14.06955705,195.5902294,207.783615,193.6874952,11.81767684
  7641 (1986 TT6),57400,5.215574576,0.053089458,34.6963233,242.064235,229.487427,104.7345843,11.9113625
  7815 Dolon (1987 QN),57400,5.278602111,0.058667526,20.35632351,147.5039903,219.8641371,81.8247899,12.12792752
  8060 Anius (1973 SD1),57400,5.189870357,0.091295155,7.084698757,6.369169355,33.91558491,200.2249011,11.82341589
  8125 Tyndareus (5493 T-2),57400,5.178757773,0.046240818,13.12010878,323.1288637,58.16758325,225.5338765,11.78546166
  8241 Agrius (1973 SE1),57400,5.141348101,0.042755901,4.346413584,22.67514308,262.7579039,313.5535136,11.65799101
  8317 Eurysaces (4523 P-L),57400,5.294089112,0.045086678,0.946252599,208.1094907,113.8465551,277.9969728,12.18134022
  9023 Mnesthus (1988 RG1),57400,5.231206746,0.063402959,23.91141623,159.8985753,159.192507,125.2385254,11.96495388
  9030 (1989 UX5),57400,5.247174036,0.023940387,4.233350598,76.79888101,1.371055179,44.94163559,12.01977687
  9142 Rhesus (5191 T-3),57400,5.175104961,0.128781583,12.79623849,141.1860701,173.5307498,131.7944739,11.77299464
  9430 Erichthonios (1996 HU10),57400,5.273018693,0.052743113,1.001593088,326.4372993,310.06027,173.9196801,12.10869022
  9431 (1996 PS1),57400,5.124107867,0.084176768,21.33374984,201.5279827,184.5618548,188.2423075,11.59940193
  9590 (1991 DK1),57400,5.103726977,0.04165332,6.662062982,28.87116851,191.8812107,354.0594889,11.53026671
  9694 Lycomedes (6581 P-L),57400,5.111241096,0.033998195,4.946268079,350.1590975,55.26946204,156.1040887,11.55573976
  9712 Nauplius (1973 SO1),57400,5.232027669,0.126722742,8.463447016,176.6590869,274.2139769,129.8283129,11.96777044
  9713 Oceax (1973 SP1),57400,5.177171548,0.053645067,4.157030552,155.9996403,314.4094635,104.2509773,11.78004734
  9790 (1995 OK8),57400,5.252570436,0.054154457,5.915489537,231.1941473,150.4019679,194.1257371,12.03832405
  9799 (1996 RJ),57400,5.192477928,0.046812764,30.51238697,259.5547077,113.54128,204.1823619,11.83232775
  9807 (1997 SJ4),57400,5.211912502,0.153441002,4.970256008,232.6023806,196.9294519,152.9506786,11.8988195
  9817 Thersander (6540 P-L),57400,5.273705302,0.039719539,9.166763078,24.36424988,83.09155527,100.5234469,12.11105534
  9818 Eurymachos (6591 P-L),57400,5.216447086,0.003506972,7.492312981,18.62685954,148.9892942,39.0656368,11.91435159
  9828 Antimachos (1973 SS),57400,5.179381181,0.085261352,3.214681876,97.09865774,20.59836778,113.0861712,11.78758979
  9857 (1991 EN),57400,5.147014411,0.025951929,19.62045401,289.3938012,2.036485191,303.9025915,11.67726883
  9907 Oileus (6541 P-L),57400,5.294519747,0.065831087,8.143687639,153.7752032,262.584721,154.4564745,12.18282655
 10247 Amphiaraos (6629 P-L),57400,5.256659332,0.008904055,4.19150803,162.5240169,340.9312807,119.8087303,12.05238375
 10664 Phemios (5187 T-2),57400,5.179606452,0.031601757,8.580951857,240.1377162,235.8458079,128.7583656,11.78835883
 10989 Dolios (1973 SL1),57400,5.168967102,0.085934251,10.58256202,187.3540201,206.5683599,192.2024238,11.75205606
 11089 (1994 CS8),57400,5.19898717,0.02285887,6.927970625,120.1151207,18.98833489,294.131086,11.85458407
 11251 Icarion (1973 SN1),57400,5.159373961,0.002628692,4.203875569,101.9985176,118.286451,7.758733784,11.71935509
 11252 Laertes (1973 SA2),57400,5.145115693,0.029253647,5.857232848,78.32558873,326.3836293,170.2780829,11.67080787
 11273 (1988 RN11),57400,5.212204455,0.094948697,1.419433449,171.6050677,55.09674257,204.3020664,11.89981931
 11275 (1988 SL3),57400,5.192839493,0.089848339,25.16169639,122.5775248,218.3536389,123.6110013,11.83356364
 11351 Leucus (1997 TS25),57400,5.282770429,0.063804932,11.56101571,251.0896449,161.4703566,192.5142465,12.14229583
 11395 (1998 XN77),57400,5.214494981,0.066679079,24.14004031,213.240398,117.380005,250.8301989,11.90766431
 11396 (1998 XZ77),57400,5.213604419,0.063240091,12.58228139,195.694265,176.6504907,211.1022288,11.90461395
 11397 (1998 XX93),57400,5.242646105,0.061205592,21.005825,261.2305737,152.7025438,200.0241584,12.00422193
 11428 Alcinoos (4139 P-L),57400,5.323673985,0.013006599,17.30654654,3.346810387,61.30675955,163.4868755,12.28359192
 11429 Demodokus (4655 P-L),57400,5.261802737,0.027584873,17.08480178,6.333382469,93.47917979,103.1588436,12.07007715
 11487 (1988 RG10),57400,5.145133653,0.048048234,3.528141738,342.3759967,8.946951323,109.4890492,11.67086897
 11488 (1988 RM11),57400,5.156504493,0.038000955,3.353428482,140.7011155,237.0438277,94.12813605,11.7095796
 11509 Thersilochos (1990 VL6),57400,5.180316943,0.142672102,18.50194712,214.7073322,128.8747202,115.1682015,11.79078444
 11552 Boucolion (1993 BD4),57400,5.265778773,0.152099042,14.68415752,138.3629262,182.8703341,154.3435699,12.08376071
 11554 Asios (1993 BZ12),57400,5.262640014,0.061439592,13.71149725,128.1039672,126.7786264,216.549175,12.07295821
 11663 (1997 GO24),57400,5.142566995,0.126085106,14.46676177,226.0163229,89.11569981,138.3501182,11.66213701
 11668 Balios (1997 VV1),57400,5.179636549,0.140980343,4.677718464,20.11533894,13.98606628,177.2194386,11.78846158
 11869 (1989 TS2),57400,5.244528063,0.04135293,11.3021972,149.667015,159.1631488,140.9260194,12.01068626
 11887 Echemmon (1990 TV12),57400,5.183346566,0.091821456,24.04430311,242.6516326,112.5856772,104.0407394,11.80112942
 12052 Aretaon (1997 JB16),57400,5.245856525,0.066921978,11.46173865,219.7744138,86.35198971,130.8755103,12.01525009
 12054 (1997 TT9),57400,5.140480977,0.064190643,10.09058802,44.54425225,41.46012955,155.0018989,11.65504184
 12126 (1999 RM11),57400,5.231878448,0.207305098,2.042278424,351.0426699,304.0151864,153.6507039,11.96725846
 12238 Actor (1987 YU1),57400,5.174639535,0.123049577,21.09663586,227.5930454,177.5972148,178.1885971,11.77140645
 12242 Koon (1988 QY),57400,5.101322996,0.066676432,29.78434424,222.6566428,94.88127128,147.7872211,11.5221211
 12444 Prothoon (1996 GE19),57400,5.2488232,0.070646287,30.82569876,213.218699,64.81698295,174.5898943,12.02544396
 12649 Ascanios (2035 T-3),57400,5.154559439,0.147137463,6.571931305,337.5923872,342.5331282,144.8734736,11.70295487
 12658 Peiraios (1973 SL),57400,5.158155973,0.057175308,1.777352769,111.8842033,327.4375949,166.5565552,11.71520541
 12714 Alkimos (1991 GX1),57400,5.227703745,0.036442038,9.508256157,298.9036004,164.6061662,130.8648251,11.95293766
 12916 Eteoneus (1998 TL15),57400,5.165844143,0.016890207,26.39198647,219.3840255,220.0963975,120.165689,11.74140723
 12917 (1998 TG16),57400,5.201453065,0.089302968,11.83615018,204.3407073,228.4823915,132.041202,11.86301906
 12921 (1998 WZ5),57400,5.24445265,0.092411042,12.79485085,160.2171903,273.6141017,147.3290287,12.01042721
 12929 (1999 TZ1),57400,5.229896339,0.040570985,43.45577471,200.2307565,132.4911689,145.3920148,11.96045836
 12972 Eumaios (1973 SF1),57400,5.149649659,0.150361871,8.444410263,40.55158977,339.1096681,201.5425246,11.68623804
 12973 Melanthios (1973 SY1),57400,5.125460917,0.056679545,5.744382003,358.2195873,36.47845652,179.9364886,11.60399657
 12974 Halitherses (1973 SB2),57400,5.181653104,0.050717089,7.609116342,15.19433346,3.026695109,205.5063016,11.79534654
 13060 (1991 EJ),57400,5.169445433,0.122441998,22.91017816,280.4942672,95.75250491,193.16343,11.75368738
 13062 Podarkes (1991 HN),57400,5.156259456,0.009471924,8.233471158,91.02607084,286.7661248,233.6720156,11.70874495
 13181 Peneleos (1996 RS28),57400,5.215878318,0.13631205,2.54502557,10.99628628,104.1290639,110.2987223,11.91240304
 13182 (1996 SO8),57400,5.238206926,0.112177996,5.071283188,303.0623804,64.44490178,204.760094,11.98897841
 13183 (1996 TW),57400,5.212458737,0.089450043,17.95924428,8.066170477,314.1285364,268.2941266,11.90069013
